Location,Positive_Cases,Last_updated,Last_updated_time
Chenango,3,3/24/2020,14:49
Clinton,8,3/24/2020,14:49
Columbia,11,3/24/2020,14:49
Cortland,2,3/24/2020,14:49
Delaware,3,3/24/2020,14:49
Dutchess,124,3/24/2020,14:49
Erie,107,3/24/2020,14:49
Essex,3,3/24/2020,14:49
Fulton,1,3/24/2020,14:49
Genesee,1,3/24/2020,14:49
Greene,4,3/24/2020,14:49
Hamilton,2,3/24/2020,14:49
Herkimer,4,3/24/2020,14:49
Jefferson,2,3/24/2020,14:49
Livingston,3,3/24/2020,14:49
Madison,5,3/24/2020,14:49
Monroe,96,3/24/2020,14:49
Montgomery,3,3/24/2020,14:49
Nassau,"2,869",3/24/2020,14:49
Niagara,11,3/24/2020,14:49
New York City,"14,904",3/24/2020,14:49
Oneida,8,3/24/2020,14:49
Onondaga,60,3/24/2020,14:49
Ontario,7,3/24/2020,14:49
Orange,498,3/24/2020,14:49
Oswego,2,3/24/2020,14:49
Otsego,1,3/24/2020,14:49
Putnam,67,3/24/2020,14:49
Rensselaer,30,3/24/2020,14:49
Rockland,671,3/24/2020,14:49
Saratoga,60,3/24/2020,14:49
Schenectady,46,3/24/2020,14:49
Schoharie,1,3/24/2020,14:49
St. Lawrence,1,3/24/2020,14:49
Steuben,5,3/24/2020,14:49
Suffolk,"1,880",3/24/2020,14:49
Sullivan,30,3/24/2020,14:49
Tioga,1,3/24/2020,14:49
Tompkins,16,3/24/2020,14:49
Ulster,47,3/24/2020,14:49
Warren,2,3/24/2020,14:49
Washington,3,3/24/2020,14:49
Wayne,6,3/24/2020,14:49
Westchester,"3,891",3/24/2020,14:49
Wyoming,4,3/24/2020,14:49
Total Number of Positive Cases,"25,665",3/24/2020,14:49
Albany,152,3/25/2020,13:46
Allegany,2,3/25/2020,13:46
Broome,11,3/25/2020,13:46
Cayuga,2,3/25/2020,13:46
Chautauqua,1,3/25/2020,13:46
Chemung,1,3/25/2020,13:46
Chenango,3,3/25/2020,13:46
Clinton,10,3/25/2020,13:46
Columbia,12,3/25/2020,13:46
Cortland,2,3/25/2020,13:46
Delaware,5,3/25/2020,13:46
Dutchess,153,3/25/2020,13:46
Erie,122,3/25/2020,13:46
Essex,4,3/25/2020,13:46
Franklin,1,3/25/2020,13:46
Fulton,1,3/25/2020,13:46
